Key,Proyecto,Species,Sum of NUM_IND,Sum of ABUND_REL,Sum of ABUND_ABS
1,EIA PPII - PLATERO sobre YNC,Adelpha cytherea,4,4,0.37
2,EIA PPII - PLATERO sobre YNC,Anthanassa frisia,5,5,0.26
3,EIA PPII - PLATERO sobre YNC,Archaeoprepona demophon,5,5,1.83
4,EIA PPII - PLATERO sobre YNC,Artibeus jamaicensis,5,5,1.05
5,EIA PPII - PLATERO sobre YNC,Artibeus lituratus,3,3,3
6,EIA PPII - PLATERO sobre YNC,Caligo illioneus,31,31,2.77
7,EIA PPII - PLATERO sobre YNC,Caligo telamonius,8,8,2.1
8,EIA PPII - PLATERO sobre YNC,Callicore pitheas,18,18,1.26
9,EIA PPII - PLATERO sobre YNC,Canthon juvencus,462,462,11.30001
10,EIA PPII - PLATERO sobre YNC,Carollia castanea,26,26,10.529
11,EIA PPII - PLATERO sobre YNC,Carollia perspicillata,82,82,48.282
12,EIA PPII - PLATERO sobre YNC,Cephalotes atratus,8,8,2.5
13,EIA PPII - PLATERO sobre YNC,Colobura dirce,19,19,2.58
14,EIA PPII - PLATERO sobre YNC,Coprophanaeus corythus,19,19,1.46006
15,EIA PPII - PLATERO sobre YNC,Coprophanaeus gamezi,2,2,0.61
16,EIA PPII - PLATERO sobre YNC,Cuniculus paca,61,61,1.872
17,EIA PPII - PLATERO sobre YNC,Dasypus novemcinctus,49,49,2.939
18,EIA PPII - PLATERO sobre YNC,Dichotomius agenor,90,90,17.11004
19,EIA PPII - PLATERO sobre YNC,Dolichoderus bispinosus,323,323,21.23
20,EIA PPII - PLATERO sobre YNC,Dryadula phaetusa,1,1,0.2
21,EIA PPII - PLATERO sobre YNC,Dryas iulia,1,1,0.2
22,EIA PPII - PLATERO sobre YNC,Ectatomma ruidum,218,218,29.68
23,EIA PPII - PLATERO sobre YNC,Ectatomma tuberculatum,60,60,12.66
24,EIA PPII - PLATERO sobre YNC,Glossophaga soricina,3,3,1.417
25,EIA PPII - PLATERO sobre YNC,Hamadryas feronia,11,11,2.54
26,EIA PPII - PLATERO sobre YNC,Heliconius erato,8,8,1.11
27,EIA PPII - PLATERO sobre YNC,Heliconius hecale,3,3,0.3
28,EIA PPII - PLATERO sobre YNC,Heraclides thoas,2,2,0.2
29,EIA PPII - PLATERO sobre YNC,Hermeuptychia hermes,3,3,0.76
30,EIA PPII - PLATERO sobre YNC,Historis odius,9,9,1.65
31,EIA PPII - PLATERO sobre YNC,Junonia evarete,1,1,1
32,EIA PPII - PLATERO sobre YNC,Labidus coecus,560,560,9.08
33,EIA PPII - PLATERO sobre YNC,Leopardus pardalis,20,20,2.081
34,EIA PPII - PLATERO sobre YNC,Mechanitis polymnia,11,11,2.61
35,EIA PPII - PLATERO sobre YNC,Megalomyrmex leoninus,15,15,4.69
36,EIA PPII - PLATERO sobre YNC,Micronycteris sp.,1,1,1
37,EIA PPII - PLATERO sobre YNC,Molossus molossus,49,49,16.365
38,EIA PPII - PLATERO sobre YNC,Morpho helenor,3,3,0.56
39,EIA PPII - PLATERO sobre YNC,No aplica,6081,6081,329.32011
40,EIA PPII - PLATERO sobre YNC,Notosciurus granatensis,99,99,8.829
41,EIA PPII - PLATERO sobre YNC,Odontomachus haematodus,41,41,7.15001
42,EIA PPII - PLATERO sobre YNC,Pachycondyla harpax,72,72,11.4
43,EIA PPII - PLATERO sobre YNC,Paratrechina longicornis,2,2,0.17001
44,EIA PPII - PLATERO sobre YNC,Pareuptychia ocirrhoe,20,20,3.19
45,EIA PPII - PLATERO sobre YNC,Phyllostomus discolor,6,6,1.967
46,EIA PPII - PLATERO sobre YNC,Procyon cancrivorus,43,43,1.111
47,EIA PPII - PLATERO sobre YNC,Puma concolor,3,3,1.032
48,EIA PPII - PLATERO sobre YNC,Pyrgus orcus,1,1,0.05
49,EIA PPII - PLATERO sobre YNC,Sericomyrmex amabilis,40,40,2.73
50,EIA PPII - PLATERO sobre YNC,Sigmodon hirsutus,15,15,1
51,EIA PPII - PLATERO sobre YNC,Solenopsis geminata,166,166,11.16
52,EIA PPII - PLATERO sobre YNC,Strumigenys denticulata,43,43,0.3
53,EIA PPII - PLATERO sobre YNC,Strumigenys eggersi,2,2,0.15
54,EIA PPII - PLATERO sobre YNC,Strumigenys elongata,6,6,0.22
55,EIA PPII - PLATERO sobre YNC,Strumigenys marginiventris,14,14,0.42
56,EIA PPII - PLATERO sobre YNC,Taygetis laches,43,43,6.58
57,EIA PPII - PLATERO sobre YNC,Temenis laothoe,1,1,0.2
58,EIA PPII - PLATERO sobre YNC,Urbanus simplicius,3,3,0.38
59,EIA PPII - PLATERO sobre YNC,Wasmannia auropunctata,26,26,0.28
60,EIA PPII - PLATERO sobre YNC,Zaretis ellops,2,2,0.14
61,EIA PPII - PLATERO sobre YNC,Solenopsis ,118,118,3.12
62,EIA PPII - PLATERO sobre YNC,Crematogaster longispina,990,990,34.47
63,EIA PPII - PLATERO sobre YNC,Odontomachus mayi,2,2,0.12
64,EIA PPII - PLATERO sobre YNC,Brachymyrmex cf. australis ,22,22,2.15
65,EIA PPII - PLATERO sobre YNC,Strumigenys cf. cosmostela,49,49,1.79
66,EIA PPII - PLATERO sobre YNC,Crematogaster distans,6,6,0.75
67,EIA PPII - PLATERO sobre YNC,Crematogaster carinata,114,114,3.01
68,EIA PPII - PLATERO sobre YNC,Hylomyrma blandiens,11,11,1.06
69,EIA PPII - PLATERO sobre YNC,Crematogaster flavosensitiva,11,11,0.29
70,EIA PPII - PLATERO sobre YNC,Apterostigma pilosum,8,8,0.15
71,EIA PPII - PLATERO sobre YNC,Cyphomyrmex hamulatus,8,8,0.18
72,EIA PPII - PLATERO sobre YNC,Mycocepurus smithii,3,3,0.06
73,EIA PPII - PLATERO sobre YNC,Rogeria blanda,6,6,0.06
74,EIA PPII - PLATERO sobre YNC,Megalomyrmex silvestrii,1,1,0.04
75,EIA PPII - PLATERO sobre YNC,Siderone galanthis,1,1,0.17
76,EIA PPII - PLATERO sobre YNC,Opsiphanes cassina,51,51,6.88
77,EIA PPII - PLATERO sobre YNC,Nica flavilla,16,16,0.92
78,EIA PPII - PLATERO sobre YNC,Opsiphanes tamarindi,3,3,0.27
79,EIA PPII - PLATERO sobre YNC,Tithorea harmonia,1,1,0.2
80,EIA PPII - PLATERO sobre YNC,Junonia coenia,8,8,0.38
81,EIA PPII - PLATERO sobre YNC,Heliconius melpomene,1,1,0.09
82,EIA PPII - PLATERO sobre YNC,Cf.Eunica,1,1,0.09
83,EIA PPII - PLATERO sobre YNC,Castilia eranites,2,2,0.4
84,EIA PPII - PLATERO sobre YNC,Adelpha capucinus,1,1,0.03
85,EIA PPII - PLATERO sobre YNC,Adelpha basiloides,1,1,0.17
86,EIA PPII - PLATERO sobre YNC,Canthon gr. politus,76,76,5.84
87,EIA PPII - PLATERO sobre YNC,Canthon septemmaculatus,29,29,4.60001
88,EIA PPII - PLATERO sobre YNC,Onthophagus marginicolis,35,35,2.63005
